record_id,date,year,store_id,store_name,suburb,seifa_score,seifa_group,product_id,product_name,brand,category,pack_size_g,regular_price,promo_price,was_price,on_promotion,discount_pct,genuine_discount,misleading_flag,units_sold,stock_level
21,5/21/2023,2023,W001,Woolworths Burnside,Burnside,1102,Advantaged,C001,Weet-Bix 575g,Sanitarium,Cereal,575,5.24,4.14,5.24,1,20.99,1,0,54,180
22,5/28/2023,2023,W001,Woolworths Burnside,Burnside,1102,Advantaged,C001,Weet-Bix 575g,Sanitarium,Cereal,575,5.78,5.78,5.78,0,0,0,0,24,221
23,06/04/2023,2023,W001,Woolworths Burnside,Burnside,1102,Advantaged,C001,Weet-Bix 575g,Sanitarium,Cereal,575,5.5,5.5,5.5,0,0,0,0,34,169
24,06/11/2023,2023,W001,Woolworths Burnside,Burnside,1102,Advantaged,C001,Weet-Bix 575g,Sanitarium,Cereal,575,5.22,4.2,5.22,1,19.54,1,0,71,175
25,6/18/2023,2023,W001,Woolworths Burnside,Burnside,1102,Advantaged,C001,Weet-Bix 575g,Sanitarium,Cereal,575,5.62,4.6,5.62,1,18.15,1,0,48,115
26,6/25/2023,2023,W001,Woolworths Burnside,Burnside,1102,Advantaged,C001,Weet-Bix 575g,Sanitarium,Cereal,575,5.77,5.77,5.77,0,0,0,0,47,145
27,07/02/2023,2023,W001,Woolworths Burnside,Burnside,1102,Advantaged,C001,Weet-Bix 575g,Sanitarium,Cereal,575,5.57,4.63,5.57,1,16.88,1,0,63,163
28,07/09/2023,2023,W001,Woolworths Burnside,Burnside,1102,Advantaged,C001,Weet-Bix 575g,Sanitarium,Cereal,575,5.74,5.74,5.74,0,0,0,0,81,208
29,7/16/2023,2023,W001,Woolworths Burnside,Burnside,1102,Advantaged,C001,Weet-Bix 575g,Sanitarium,Cereal,575,5.34,5.34,5.34,0,0,0,0,96,82
30,7/23/2023,2023,W001,Woolworths Burnside,Burnside,1102,Advantaged,C001,Weet-Bix 575g,Sanitarium,Cereal,575,5.2,5.2,5.2,0,0,0,0,28,141
31,7/30/2023,2023,W001,Woolworths Burnside,Burnside,1102,Advantaged,C001,Weet-Bix 575g,Sanitarium,Cereal,575,5.33,4.04,5.33,1,24.2,1,0,51,175
32,08/06/2023,2023,W001,Woolworths Burnside,Burnside,1102,Advantaged,C001,Weet-Bix 575g,Sanitarium,Cereal,575,5.53,5.53,5.53,0,0,0,0,81,131
33,8/13/2023,2023,W001,Woolworths Burnside,Burnside,1102,Advantaged,C001,Weet-Bix 575g,Sanitarium,Cereal,575,5.35,5.35,5.35,0,0,0,0,22,192
34,8/20/2023,2023,W001,Woolworths Burnside,Burnside,1102,Advantaged,C001,Weet-Bix 575g,Sanitarium,Cereal,575,5.29,5.29,5.29,0,0,0,0,78,192
35,8/27/2023,2023,W001,Woolworths Burnside,Burnside,1102,Advantaged,C001,Weet-Bix 575g,Sanitarium,Cereal,575,5.79,5.79,5.79,0,0,0,0,20,226
36,09/03/2023,2023,W001,Woolworths Burnside,Burnside,1102,Advantaged,C001,Weet-Bix 575g,Sanitarium,Cereal,575,5.61,5.61,5.61,0,0,0,0,51,239
37,09/10/2023,2023,W001,Woolworths Burnside,Burnside,1102,Advantaged,C001,Weet-Bix 575g,Sanitarium,Cereal,575,5.56,4.8,5.56,1,13.67,1,0,57,103
38,9/17/2023,2023,W001,Woolworths Burnside,Burnside,1102,Advantaged,C001,Weet-Bix 575g,Sanitarium,Cereal,575,5.48,5.48,5.48,0,0,0,0,30,223
39,9/24/2023,2023,W001,Woolworths Burnside,Burnside,1102,Advantaged,C001,Weet-Bix 575g,Sanitarium,Cereal,575,5.7,5.1,5.7,1,10.53,1,0,39,243
40,10/01/2023,2023,W001,Woolworths Burnside,Burnside,1102,Advantaged,C001,Weet-Bix 575g,Sanitarium,Cereal,575,5.21,5.21,5.21,0,0,0,0,38,227
41,10/08/2023,2023,W001,Woolworths Burnside,Burnside,1102,Advantaged,C001,Weet-Bix 575g,Sanitarium,Cereal,575,5.59,4.71,5.59,1,15.74,1,0,20,90
42,10/15/2023,2023,W001,Woolworths Burnside,Burnside,1102,Advantaged,C001,Weet-Bix 575g,Sanitarium,Cereal,575,5.4,5.54,6.41,1,-2.59,0,1,35,169
43,10/22/2023,2023,W001,Woolworths Burnside,Burnside,1102,Advantaged,C001,Weet-Bix 575g,Sanitarium,Cereal,575,5.79,5.79,5.79,0,0,0,0,21,208
44,10/29/2023,2023,W001,Woolworths Burnside,Burnside,1102,Advantaged,C001,Weet-Bix 575g,Sanitarium,Cereal,575,5.26,5.26,5.26,0,0,0,0,56,239
45,11/05/2023,2023,W001,Woolworths Burnside,Burnside,1102,Advantaged,C001,Weet-Bix 575g,Sanitarium,Cereal,575,5.58,4.41,5.58,1,20.97,1,0,22,227
46,11/12/2023,2023,W001,Woolworths Burnside,Burnside,1102,Advantaged,C001,Weet-Bix 575g,Sanitarium,Cereal,575,5.73,5.73,5.73,0,0,0,0,43,195
47,11/19/2023,2023,W001,Woolworths Burnside,Burnside,1102,Advantaged,C001,Weet-Bix 575g,Sanitarium,Cereal,575,5.25,5.25,6.09,1,0,0,1,44,172
48,11/26/2023,2023,W001,Woolworths Burnside,Burnside,1102,Advantaged,C001,Weet-Bix 575g,Sanitarium,Cereal,575,5.37,4.47,5.37,1,16.76,1,0,80,248
49,12/03/2023,2023,W001,Woolworths Burnside,Burnside,1102,Advantaged,C001,Weet-Bix 575g,Sanitarium,Cereal,575,5.31,4.64,5.31,1,12.62,1,0,27,214
50,12/10/2023,2023,W001,Woolworths Burnside,Burnside,1102,Advantaged,C001,Weet-Bix 575g,Sanitarium,Cereal,575,5.63,4.64,5.63,1,17.58,1,0,41,237
51,12/17/2023,2023,W001,Woolworths Burnside,Burnside,1102,Advantaged,C001,Weet-Bix 575g,Sanitarium,Cereal,575,5.78,6.24,6.72,1,-7.96,0,1,49,176
52,12/24/2023,2023,W001,Woolworths Burnside,Burnside,1102,Advantaged,C001,Weet-Bix 575g,Sanitarium,Cereal,575,5.55,5.55,5.55,0,0,0,0,88,140
53,12/31/2023,2023,W001,Woolworths Burnside,Burnside,1102,Advantaged,C001,Weet-Bix 575g,Sanitarium,Cereal,575,5.5,5.5,5.5,0,0,0,0,83,128
54,01/07/2024,2024,W001,Woolworths Burnside,Burnside,1102,Advantaged,C001,Weet-Bix 575g,Sanitarium,Cereal,575,6.42,6.42,6.42,0,0,0,0,49,125
55,1/14/2024,2024,W001,Woolworths Burnside,Burnside,1102,Advantaged,C001,Weet-Bix 575g,Sanitarium,Cereal,575,6.42,6.42,6.42,0,0,0,0,65,174
56,1/21/2024,2024,W001,Woolworths Burnside,Burnside,1102,Advantaged,C001,Weet-Bix 575g,Sanitarium,Cereal,575,6.42,6.42,6.42,0,0,0,0,82,239
57,1/28/2024,2024,W001,Woolworths Burnside,Burnside,1102,Advantaged,C001,Weet-Bix 575g,Sanitarium,Cereal,575,5.5,5.88,6.42,1,-6.91,0,1,73,137
58,02/04/2024,2024,W001,Woolworths Burnside,Burnside,1102,Advantaged,C001,Weet-Bix 575g,Sanitarium,Cereal,575,5.5,5.81,6.42,1,-5.64,0,1,42,206
59,02/11/2024,2024,W001,Woolworths Burnside,Burnside,1102,Advantaged,C001,Weet-Bix 575g,Sanitarium,Cereal,575,5.5,5.97,6.42,1,-8.55,0,1,36,183
60,2/18/2024,2024,W001,Woolworths Burnside,Burnside,1102,Advantaged,C001,Weet-Bix 575g,Sanitarium,Cereal,575,5.5,5.82,6.42,1,-5.82,0,1,67,118
61,2/25/2024,2024,W001,Woolworths Burnside,Burnside,1102,Advantaged,C001,Weet-Bix 575g,Sanitarium,Cereal,575,5.5,6.44,6.42,1,-17.09,0,1,69,232
62,03/03/2024,2024,W001,Woolworths Burnside,Burnside,1102,Advantaged,C001,Weet-Bix 575g,Sanitarium,Cereal,575,5.57,4.49,5.57,1,19.39,1,0,39,144
63,03/10/2024,2024,W001,Woolworths Burnside,Burnside,1102,Advantaged,C001,Weet-Bix 575g,Sanitarium,Cereal,575,5.24,4.02,5.24,1,23.28,1,0,34,171
64,3/17/2024,2024,W001,Woolworths Burnside,Burnside,1102,Advantaged,C001,Weet-Bix 575g,Sanitarium,Cereal,575,5.55,5.55,5.55,0,0,0,0,82,165
65,3/24/2024,2024,W001,Woolworths Burnside,Burnside,1102,Advantaged,C001,Weet-Bix 575g,Sanitarium,Cereal,575,5.4,5.86,6.39,1,-8.52,0,1,68,249
66,3/31/2024,2024,W001,Woolworths Burnside,Burnside,1102,Advantaged,C001,Weet-Bix 575g,Sanitarium,Cereal,575,5.69,4.68,5.69,1,17.75,1,0,72,139
67,04/07/2024,2024,W001,Woolworths Burnside,Burnside,1102,Advantaged,C001,Weet-Bix 575g,Sanitarium,Cereal,575,5.33,5.33,5.33,0,0,0,0,87,85
68,4/14/2024,2024,W001,Woolworths Burnside,Burnside,1102,Advantaged,C001,Weet-Bix 575g,Sanitarium,Cereal,575,5.23,5.23,5.23,0,0,0,0,66,178
69,4/21/2024,2024,W001,Woolworths Burnside,Burnside,1102,Advantaged,C001,Weet-Bix 575g,Sanitarium,Cereal,575,5.58,5.58,5.58,0,0,0,0,32,193
70,4/28/2024,2024,W001,Woolworths Burnside,Burnside,1102,Advantaged,C001,Weet-Bix 575g,Sanitarium,Cereal,575,5.51,5.75,6.21,1,-4.36,0,1,74,169
71,05/05/2024,2024,W001,Woolworths Burnside,Burnside,1102,Advantaged,C001,Weet-Bix 575g,Sanitarium,Cereal,575,5.22,5.22,5.22,0,0,0,0,42,206
72,05/12/2024,2024,W001,Woolworths Burnside,Burnside,1102,Advantaged,C001,Weet-Bix 575g,Sanitarium,Cereal,575,5.62,5.62,5.62,0,0,0,0,77,201
73,5/19/2024,2024,W001,Woolworths Burnside,Burnside,1102,Advantaged,C001,Weet-Bix 575g,Sanitarium,Cereal,575,5.29,4.19,5.29,1,20.79,1,0,20,95
74,5/26/2024,2024,W001,Woolworths Burnside,Burnside,1102,Advantaged,C001,Weet-Bix 575g,Sanitarium,Cereal,575,5.51,5.51,5.51,0,0,0,0,88,101
75,06/02/2024,2024,W001,Woolworths Burnside,Burnside,1102,Advantaged,C001,Weet-Bix 575g,Sanitarium,Cereal,575,5.64,4.94,5.64,1,12.41,1,0,76,108
76,06/09/2024,2024,W001,Woolworths Burnside,Burnside,1102,Advantaged,C001,Weet-Bix 575g,Sanitarium,Cereal,575,5.27,4.07,5.27,1,22.77,1,0,88,223
77,6/16/2024,2024,W001,Woolworths Burnside,Burnside,1102,Advantaged,C001,Weet-Bix 575g,Sanitarium,Cereal,575,5.26,5.26,5.26,0,0,0,0,58,179
78,6/23/2024,2024,W001,Woolworths Burnside,Burnside,1102,Advantaged,C001,Weet-Bix 575g,Sanitarium,Cereal,575,5.3,5.3,5.3,0,0,0,0,42,89
79,6/30/2024,2024,W001,Woolworths Burnside,Burnside,1102,Advantaged,C001,Weet-Bix 575g,Sanitarium,Cereal,575,5.77,5.77,5.77,0,0,0,0,71,217
80,07/07/2024,2024,W001,Woolworths Burnside,Burnside,1102,Advantaged,C001,Weet-Bix 575g,Sanitarium,Cereal,575,5.58,5.58,5.58,0,0,0,0,20,148
81,7/14/2024,2024,W001,Woolworths Burnside,Burnside,1102,Advantaged,C001,Weet-Bix 575g,Sanitarium,Cereal,575,5.61,5.61,5.61,0,0,0,0,99,81
82,7/21/2024,2024,W001,Woolworths Burnside,Burnside,1102,Advantaged,C001,Weet-Bix 575g,Sanitarium,Cereal,575,5.22,5.22,5.22,0,0,0,0,43,219
83,7/28/2024,2024,W001,Woolworths Burnside,Burnside,1102,Advantaged,C001,Weet-Bix 575g,Sanitarium,Cereal,575,5.43,5.43,5.43,0,0,0,0,52,180
84,08/04/2024,2024,W001,Woolworths Burnside,Burnside,1102,Advantaged,C001,Weet-Bix 575g,Sanitarium,Cereal,575,5.58,5.58,5.58,0,0,0,0,59,153
85,08/11/2024,2024,W001,Woolworths Burnside,Burnside,1102,Advantaged,C001,Weet-Bix 575g,Sanitarium,Cereal,575,5.32,4.49,5.32,1,15.6,1,0,54,160
86,8/18/2024,2024,W001,Woolworths Burnside,Burnside,1102,Advantaged,C001,Weet-Bix 575g,Sanitarium,Cereal,575,5.59,4.75,5.59,1,15.03,1,0,26,137
87,8/25/2024,2024,W001,Woolworths Burnside,Burnside,1102,Advantaged,C001,Weet-Bix 575g,Sanitarium,Cereal,575,5.62,5.62,5.62,0,0,0,0,48,199
88,09/01/2024,2024,W001,Woolworths Burnside,Burnside,1102,Advantaged,C001,Weet-Bix 575g,Sanitarium,Cereal,575,5.64,5.64,5.64,0,0,0,0,55,217
89,09/08/2024,2024,W001,Woolworths Burnside,Burnside,1102,Advantaged,C001,Weet-Bix 575g,Sanitarium,Cereal,575,5.45,5.45,5.45,0,0,0,0,68,178
90,9/15/2024,2024,W001,Woolworths Burnside,Burnside,1102,Advantaged,C001,Weet-Bix 575g,Sanitarium,Cereal,575,5.45,5.96,6.18,1,-9.36,0,1,56,91
91,9/22/2024,2024,W001,Woolworths Burnside,Burnside,1102,Advantaged,C001,Weet-Bix 575g,Sanitarium,Cereal,575,5.46,5.46,5.46,0,0,0,0,49,96
92,9/29/2024,2024,W001,Woolworths Burnside,Burnside,1102,Advantaged,C001,Weet-Bix 575g,Sanitarium,Cereal,575,5.52,5.52,5.52,0,0,0,0,32,98
93,10/06/2024,2024,W001,Woolworths Burnside,Burnside,1102,Advantaged,C001,Weet-Bix 575g,Sanitarium,Cereal,575,5.43,5.6,6.02,1,-3.13,0,1,97,207
94,10/13/2024,2024,W001,Woolworths Burnside,Burnside,1102,Advantaged,C001,Weet-Bix 575g,Sanitarium,Cereal,575,5.49,5.49,5.49,0,0,0,0,35,196
95,10/20/2024,2024,W001,Woolworths Burnside,Burnside,1102,Advantaged,C001,Weet-Bix 575g,Sanitarium,Cereal,575,5.26,5.26,5.26,0,0,0,0,71,202
96,10/27/2024,2024,W001,Woolworths Burnside,Burnside,1102,Advantaged,C001,Weet-Bix 575g,Sanitarium,Cereal,575,5.33,5.33,5.33,0,0,0,0,35,136
97,11/03/2024,2024,W001,Woolworths Burnside,Burnside,1102,Advantaged,C001,Weet-Bix 575g,Sanitarium,Cereal,575,5.27,5.27,5.27,0,0,0,0,77,246
98,11/10/2024,2024,W001,Woolworths Burnside,Burnside,1102,Advantaged,C001,Weet-Bix 575g,Sanitarium,Cereal,575,5.8,6.21,6.7,1,-7.07,0,1,95,88
99,11/17/2024,2024,W001,Woolworths Burnside,Burnside,1102,Advantaged,C001,Weet-Bix 575g,Sanitarium,Cereal,575,5.66,5.66,5.66,0,0,0,0,26,220
100,11/24/2024,2024,W001,Woolworths Burnside,Burnside,1102,Advantaged,C001,Weet-Bix 575g,Sanitarium,Cereal,575,5.33,5.6,5.94,1,-5.07,0,1,57,162
101,12/01/2024,2024,W001,Woolworths Burnside,Burnside,1102,Advantaged,C001,Weet-Bix 575g,Sanitarium,Cereal,575,5.55,5.55,5.55,0,0,0,0,36,150
102,12/08/2024,2024,W001,Woolworths Burnside,Burnside,1102,Advantaged,C001,Weet-Bix 575g,Sanitarium,Cereal,575,5.79,5.79,5.79,0,0,0,0,89,238
103,12/15/2024,2024,W001,Woolworths Burnside,Burnside,1102,Advantaged,C001,Weet-Bix 575g,Sanitarium,Cereal,575,5.49,5.67,6.18,1,-3.28,0,1,86,220
104,12/22/2024,2024,W001,Woolworths Burnside,Burnside,1102,Advantaged,C001,Weet-Bix 575g,Sanitarium,Cereal,575,5.44,5.44,5.44,0,0,0,0,39,140
105,01/01/2023,2023,W001,Woolworths Burnside,Burnside,1102,Advantaged,C002,Kellogg’s Corn Flakes 380g,Kellogg’s,Cereal,380,5.39,5.39,5.39,0,0,0,0,22,171
106,01/08/2023,2023,W001,Woolworths Burnside,Burnside,1102,Advantaged,C002,Kellogg’s Corn Flakes 380g,Kellogg’s,Cereal,380,5.48,4.22,5.48,1,22.99,1,0,57,196
107,1/15/2023,2023,W001,Woolworths Burnside,Burnside,1102,Advantaged,C002,Kellogg’s Corn Flakes 380g,Kellogg’s,Cereal,380,5.48,5.97,6.05,1,-8.94,0,1,94,243
108,1/22/2023,2023,W001,Woolworths Burnside,Burnside,1102,Advantaged,C002,Kellogg’s Corn Flakes 380g,Kellogg’s,Cereal,380,5.23,5.23,5.23,0,0,0,0,37,126
109,1/29/2023,2023,W001,Woolworths Burnside,Burnside,1102,Advantaged,C002,Kellogg’s Corn Flakes 380g,Kellogg’s,Cereal,380,5.28,5.28,5.28,0,0,0,0,50,80
110,02/05/2023,2023,W001,Woolworths Burnside,Burnside,1102,Advantaged,C002,Kellogg’s Corn Flakes 380g,Kellogg’s,Cereal,380,5.28,5.28,5.28,0,0,0,0,35,91
111,02/12/2023,2023,W001,Woolworths Burnside,Burnside,1102,Advantaged,C002,Kellogg’s Corn Flakes 380g,Kellogg’s,Cereal,380,5.48,4.84,5.48,1,11.68,1,0,27,201
112,2/19/2023,2023,W001,Woolworths Burnside,Burnside,1102,Advantaged,C002,Kellogg’s Corn Flakes 380g,Kellogg’s,Cereal,380,5.01,5.01,5.01,0,0,0,0,77,139
113,2/26/2023,2023,W001,Woolworths Burnside,Burnside,1102,Advantaged,C002,Kellogg’s Corn Flakes 380g,Kellogg’s,Cereal,380,5.25,5.62,6.29,1,-7.05,0,1,36,240
114,03/05/2023,2023,W001,Woolworths Burnside,Burnside,1102,Advantaged,C002,Kellogg’s Corn Flakes 380g,Kellogg’s,Cereal,380,5.15,5.15,5.15,0,0,0,0,48,220
115,03/12/2023,2023,W001,Woolworths Burnside,Burnside,1102,Advantaged,C002,Kellogg’s Corn Flakes 380g,Kellogg’s,Cereal,380,5.45,5.45,5.45,0,0,0,0,88,126
116,3/19/2023,2023,W001,Woolworths Burnside,Burnside,1102,Advantaged,C002,Kellogg’s Corn Flakes 380g,Kellogg’s,Cereal,380,5.45,5.54,6.3,1,-1.65,0,1,52,197
117,3/26/2023,2023,W001,Woolworths Burnside,Burnside,1102,Advantaged,C002,Kellogg’s Corn Flakes 380g,Kellogg’s,Cereal,380,5.39,5.39,5.39,0,0,0,0,68,90
118,04/02/2023,2023,W001,Woolworths Burnside,Burnside,1102,Advantaged,C002,Kellogg’s Corn Flakes 380g,Kellogg’s,Cereal,380,5.26,5.7,6.23,1,-8.37,0,1,20,228
119,04/09/2023,2023,W001,Woolworths Burnside,Burnside,1102,Advantaged,C002,Kellogg’s Corn Flakes 380g,Kellogg’s,Cereal,380,4.93,4.93,4.93,0,0,0,0,88,174
120,4/16/2023,2023,W001,Woolworths Burnside,Burnside,1102,Advantaged,C002,Kellogg’s Corn Flakes 380g,Kellogg’s,Cereal,380,5.35,5.35,5.35,0,0,0,0,42,132
121,4/23/2023,2023,W001,Woolworths Burnside,Burnside,1102,Advantaged,C002,Kellogg’s Corn Flakes 380g,Kellogg’s,Cereal,380,5.47,5.47,5.47,0,0,0,0,36,164
122,4/30/2023,2023,W001,Woolworths Burnside,Burnside,1102,Advantaged,C002,Kellogg’s Corn Flakes 380g,Kellogg’s,Cereal,380,5.17,5.29,6,1,-2.32,0,1,51,113
123,05/07/2023,2023,W001,Woolworths Burnside,Burnside,1102,Advantaged,C002,Kellogg’s Corn Flakes 380g,Kellogg’s,Cereal,380,5.11,4.2,5.11,1,17.81,1,0,22,202
124,5/14/2023,2023,W001,Woolworths Burnside,Burnside,1102,Advantaged,C002,Kellogg’s Corn Flakes 380g,Kellogg’s,Cereal,380,5.08,5.08,5.08,0,0,0,0,24,136
125,5/21/2023,2023,W001,Woolworths Burnside,Burnside,1102,Advantaged,C002,Kellogg’s Corn Flakes 380g,Kellogg’s,Cereal,380,5.25,5.25,5.25,0,0,0,0,42,164
126,5/28/2023,2023,W001,Woolworths Burnside,Burnside,1102,Advantaged,C002,Kellogg’s Corn Flakes 380g,Kellogg’s,Cereal,380,5.28,5.28,5.28,0,0,0,0,57,117
127,06/04/2023,2023,W001,Woolworths Burnside,Burnside,1102,Advantaged,C002,Kellogg’s Corn Flakes 380g,Kellogg’s,Cereal,380,5.26,5.26,5.26,0,0,0,0,98,170
128,06/11/2023,2023,W001,Woolworths Burnside,Burnside,1102,Advantaged,C002,Kellogg’s Corn Flakes 380g,Kellogg’s,Cereal,380,4.95,4.95,4.95,0,0,0,0,57,158
129,6/18/2023,2023,W001,Woolworths Burnside,Burnside,1102,Advantaged,C002,Kellogg’s Corn Flakes 380g,Kellogg’s,Cereal,380,5.14,5.14,5.14,0,0,0,0,70,160
130,6/25/2023,2023,W001,Woolworths Burnside,Burnside,1102,Advantaged,C002,Kellogg’s Corn Flakes 380g,Kellogg’s,Cereal,380,5.47,5.61,6.29,1,-2.56,0,1,88,113
131,07/02/2023,2023,W001,Woolworths Burnside,Burnside,1102,Advantaged,C002,Kellogg’s Corn Flakes 380g,Kellogg’s,Cereal,380,5.27,4.28,5.27,1,18.79,1,0,94,194
132,07/09/2023,2023,W001,Woolworths Burnside,Burnside,1102,Advantaged,C002,Kellogg’s Corn Flakes 380g,Kellogg’s,Cereal,380,5.22,5.22,5.22,0,0,0,0,99,174
133,7/16/2023,2023,W001,Woolworths Burnside,Burnside,1102,Advantaged,C002,Kellogg’s Corn Flakes 380g,Kellogg’s,Cereal,380,5.14,5.14,5.14,0,0,0,0,23,183
134,7/23/2023,2023,W001,Woolworths Burnside,Burnside,1102,Advantaged,C002,Kellogg’s Corn Flakes 380g,Kellogg’s,Cereal,380,5.32,5.32,5.32,0,0,0,0,86,234
135,7/30/2023,2023,W001,Woolworths Burnside,Burnside,1102,Advantaged,C002,Kellogg’s Corn Flakes 380g,Kellogg’s,Cereal,380,5.3,4.74,5.3,1,10.57,1,0,24,171
136,08/06/2023,2023,W001,Woolworths Burnside,Burnside,1102,Advantaged,C002,Kellogg’s Corn Flakes 380g,Kellogg’s,Cereal,380,5.11,4.19,5.11,1,18,1,0,31,169
137,8/13/2023,2023,W001,Woolworths Burnside,Burnside,1102,Advantaged,C002,Kellogg’s Corn Flakes 380g,Kellogg’s,Cereal,380,5.44,4.63,5.44,1,14.89,1,0,45,126
138,8/20/2023,2023,W001,Woolworths Burnside,Burnside,1102,Advantaged,C002,Kellogg’s Corn Flakes 380g,Kellogg’s,Cereal,380,5.28,5.31,6.29,1,-0.57,0,1,45,115
139,8/27/2023,2023,W001,Woolworths Burnside,Burnside,1102,Advantaged,C002,Kellogg’s Corn Flakes 380g,Kellogg’s,Cereal,380,5.38,5.38,5.38,0,0,0,0,71,126
140,09/03/2023,2023,W001,Woolworths Burnside,Burnside,1102,Advantaged,C002,Kellogg’s Corn Flakes 380g,Kellogg’s,Cereal,380,5.12,5.12,5.12,0,0,0,0,47,157
141,09/10/2023,2023,W001,Woolworths Burnside,Burnside,1102,Advantaged,C002,Kellogg’s Corn Flakes 380g,Kellogg’s,Cereal,380,5.18,5.18,5.18,0,0,0,0,33,135
142,9/17/2023,2023,W001,Woolworths Burnside,Burnside,1102,Advantaged,C002,Kellogg’s Corn Flakes 380g,Kellogg’s,Cereal,380,4.98,4.98,4.98,0,0,0,0,42,186
143,9/24/2023,2023,W001,Woolworths Burnside,Burnside,1102,Advantaged,C002,Kellogg’s Corn Flakes 380g,Kellogg’s,Cereal,380,5.22,4.28,5.22,1,18.01,1,0,34,198
144,10/01/2023,2023,W001,Woolworths Burnside,Burnside,1102,Advantaged,C002,Kellogg’s Corn Flakes 380g,Kellogg’s,Cereal,380,5.13,4.45,5.13,1,13.26,1,0,63,104
145,10/08/2023,2023,W001,Woolworths Burnside,Burnside,1102,Advantaged,C002,Kellogg’s Corn Flakes 380g,Kellogg’s,Cereal,380,5.43,5.43,5.43,0,0,0,0,87,217
146,10/15/2023,2023,W001,Woolworths Burnside,Burnside,1102,Advantaged,C002,Kellogg’s Corn Flakes 380g,Kellogg’s,Cereal,380,5.37,5.37,5.37,0,0,0,0,53,190
